식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,1인(회)분량 참고량,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D302-053000000-0001,가래떡,D,음식,3,외식(분석함량),02,빵 및 과자류,02053,가래떡,0205300,해당없음,020530000,해당없음,00,해당없음,100g,210,48.0,4.00,1.08,0.77,46.11,0.06,0.7,12,0.18,43,27,250,,0,0,0.008,0.014,0.193,0.29,0.00,0.00,0.22,0.00,3,식품의약품안전처,,100g,해당없음,1,분석,2022-06-30,2025-12-29,1471000,식품의약품안전처
D102-053000000-0001,가래떡,D,음식,1,가정식(분석 함량),02,빵 및 과자류,02053,가래떡,0205300,해당없음,020530000,해당없음,00,해당없음,100g,195,51.1,3.92,0.51,0.71,43.73,0.00,0.6,5,0.25,43,23,241,0,0,0,0.000,0.020,0.000,0.00,0.00,0.00,0.19,0.00,3,식품의약품안전처,,100g,해당없음,1,분석,2018-12-31,2025-12-29,1471000,식품의약품안전처
D302-053440000-0001,가래떡_흑미,D,음식,3,외식(분석함량),02,빵 및 과자류,02053,가래떡,0205344,흑미,020534400,해당없음,00,해당없음,100g,205,48.1,3.50,0.00,0.60,47.80,,,8,1.30,52,46,226,1,0,14,0.050,0.020,0.900,0.00,,,0.00,0.00,1,농촌진흥청(국가표준식품성분표),,100g,해당없음,1,분석,2016-12-31,2025-12-29,1471000,식품의약품안전처
D407-304000000-0001,가오리찜,D,음식,4,외식(재료량 기반 산출함량),07,찜류,07304,가오리찜,0730400,해당없음,073040000,해당없음,00,해당없음,100ml,29,42.5,2.70,0.84,,3.52,0.70,1.3,27,0.42,60,124,127,13,0,156,0.045,0.080,0.546,0.94,0.14,4.11,0.15,,3,식품의약품안전처,,600ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D107-304000000-0001,가오리찜,D,음식,1,가정식(분석 함량),07,찜류,07304,가오리찜,0730400,해당없음,073040000,해당없음,00,해당없음,100g,102,75.7,21.99,1.39,0.43,0.46,0.06,2.4,8,0.09,3,11,151,55,51,48,0.165,0.085,0.000,0.00,0.00,91.28,0.26,0.00,3,식품의약품안전처,,200g,해당없음,1,분석,2017-12-31,2025-12-29,1471000,식품의약품안전처
D407-305000000-0001,가오리콩나물찜,D,음식,4,외식(재료량 기반 산출함량),07,찜류,07305,가오리콩나물찜,0730500,해당없음,073050000,해당없음,00,해당없음,100ml,29,42.5,2.68,0.84,,3.50,0.69,1.3,27,0.42,60,125,111,13,0,156,0.045,0.081,0.558,0.95,0.14,4.13,0.15,,3,식품의약품안전처,,600ml,해당없음,3,산출,2022-11-30,2025-12-29,1471000,식품의약품안전처
D414-663000000-0001,가오리회무침,D,음식,4,외식(재료량 기반 산출함량),14,생채·무침류,14663,가오리회무침,1466300,해당없음,146630000,해당없음,00,해당없음,100ml,47,48.1,4.70,0.47,,6.47,3.54,1.3,54,0.37,126,154,164,27,0,329,0.040,0.107,0.711,2.84,0.64,16.06,0.09,,3,식품의약품안전처,,270ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D714-663000000-0001,가오리회무침,D,음식,7,산업체급식(재료량 기반 산출 함량),14,생채·무침류,14663,가오리회무침,1466300,해당없음,146630000,해당없음,00,해당없음,100ml,47,48.1,4.70,0.47,,6.47,3.54,1.3,54,0.37,126,154,164,27,0,329,0.040,0.107,0.711,2.84,0.64,16.06,0.09,,3,식품의약품안전처,,270ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D406-304000000-0001,가자미 매운탕,D,음식,4,외식(재료량 기반 산출함량),06,찌개 및 전골류,06304,가자미 매운탕,0630400,해당없음,063040000,해당없음,00,해당없음,100ml,31,23.0,4.50,0.82,,1.40,0.38,0.6,12,0.23,46,125,130,11,1,114,0.048,0.075,0.914,1.28,2.95,18.00,0.14,,3,식품의약품안전처,,550ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D706-304000000-0001,가자미 매운탕,D,음식,7,산업체급식(재료량 기반 산출 함량),06,찌개 및 전골류,06304,가자미 매운탕,0630400,해당없음,063040000,해당없음,00,해당없음,100ml,31,23.0,4.40,0.81,,1.50,0.36,0.5,12,0.23,45,123,113,11,1,113,0.048,0.077,0.920,1.26,2.95,18.00,0.14,,3,식품의약품안전처,,550ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D708-352000000-0001,가자미구이,D,음식,7,산업체급식(재료량 기반 산출 함량),08,구이류,08352,가자미구이,0835200,해당없음,083520000,해당없음,00,해당없음,100ml,150,47.2,14.69,7.80,,3.85,0.03,0.1,27,0.50,132,250,291,5,5,0,0.124,0.169,2.794,1.30,10.47,63.90,1.22,,3,식품의약품안전처,,190ml,해당없음,3,산출,2022-11-30,2025-12-29,1471000,식품의약품안전처
D108-352000000-0001,가자미구이,D,음식,1,가정식(분석 함량),08,구이류,08352,가자미구이,0835200,해당없음,083520000,해당없음,00,해당없음,100g,123,73.6,18.70,5.02,1.99,0.66,0.00,1.5,180,0.35,275,309,315,4,4,0,0.000,0.290,1.460,0.47,0.00,84.33,0.82,0.10,3,식품의약품안전처,,200g,해당없음,1,분석,2019-12-31,2025-12-29,1471000,식품의약품안전처
D508-352000000-0001,가자미구이,D,음식,5,초등학교급식(재료량 기반 산출 함량),08,구이류,08352,가자미구이,0835200,해당없음,083520000,해당없음,00,해당없음,100ml,222,97.2,29.70,10.20,,0.60,0.00,0.1,56,0.98,264,514,1295,11,11,1,0.242,0.350,5.778,2.69,21.79,133.00,1.63,,3,식품의약품안전처,,79.40,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D408-352000000-0001,가자미구이,D,음식,4,외식(재료량 기반 산출함량),08,구이류,08352,가자미구이,0835200,해당없음,083520000,해당없음,00,해당없음,100ml,108,38.6,11.89,5.73,,1.26,0.00,0.0,22,0.39,105,203,240,4,4,0,0.098,0.139,2.291,1.07,8.62,52.61,0.89,,3,식품의약품안전처,,190ml,해당없음,3,산출,2022-11-30,2025-12-29,1471000,식품의약품안전처
D608-352000000-0001,가자미구이,D,음식,6,중고등학교급식(재료량 기반 산출함량),08,구이류,08352,가자미구이,0835200,해당없음,083520000,해당없음,00,해당없음,100ml,127,46.9,14.41,6.46,,1.65,0.01,0.1,27,0.48,128,247,289,7,7,0,0.118,0.169,2.783,1.32,10.47,64.53,1.09,,3,식품의약품안전처,,100ml,해당없음,3,산출,2022-11-30,2025-12-29,1471000,식품의약품안전처
D308-352000000-0001,가자미구이,D,음식,3,외식(분석함량),08,구이류,08352,가자미구이,0835200,해당없음,083520000,해당없음,00,해당없음,100g,151,67.9,22.61,6.42,2.31,0.76,0.58,0.0,186,0.35,247,264,489,,8,0,0.229,0.204,4.742,3.82,0.00,122.47,1.25,0.09,3,식품의약품안전처,,100g,해당없음,1,분석,2022-06-30,2025-12-29,1471000,식품의약품안전처
D116-684000000-0001,가자미식해,D,음식,1,가정식(분석 함량),16,젓갈류,16684,가자미식해,1668400,해당없음,166840000,해당없음,00,해당없음,100g,134,69.3,11.09,4.81,3.16,11.64,3.71,4.1,296,1.16,241,253,685,118,8,1317,0.268,0.132,0.000,2.56,0.00,73.81,0.70,0.03,3,식품의약품안전처,,250g,해당없음,1,분석,2017-12-31,2025-12-29,1471000,식품의약품안전처
D411-506000000-0001,가자미조림,D,음식,4,외식(재료량 기반 산출함량),11,조림류,11506,가자미조림,1150600,해당없음,115060000,해당없음,00,해당없음,100ml,62,50.8,7.90,1.37,,4.41,1.51,0.9,21,0.41,82,233,241,11,3,105,0.081,0.169,1.598,3.52,5.26,32.10,0.24,,3,식품의약품안전처,,280ml,해당없음,3,산출,2022-11-30,2025-12-29,1471000,식품의약품안전처
D311-506000000-0001,가자미조림,D,음식,3,외식(분석함량),11,조림류,11506,가자미조림,1150600,해당없음,115060000,해당없음,00,해당없음,100g,99,75.9,12.37,2.37,2.20,7.17,3.50,1.8,76,0.00,148,279,564,38,23,181,0.110,0.090,0.333,1.39,,75.99,0.43,0.03,3,식품의약품안전처,,300g,해당없음,1,분석,2016-10-31,2025-12-29,1471000,식품의약품안전처
D511-506000000-0001,가자미조림,D,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,11506,가자미조림,1150600,해당없음,115060000,해당없음,00,해당없음,100ml,174,85.5,23.90,5.28,,7.14,2.59,1.7,78,1.22,242,522,691,24,8,191,0.215,0.587,4.720,2.21,15.82,96.56,0.90,,3,식품의약품안전처,,67ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D711-506000000-0001,가자미조림,D,음식,7,산업체급식(재료량 기반 산출 함량),11,조림류,11506,가자미조림,1150600,해당없음,115060000,해당없음,00,해당없음,100ml,87,70.8,12.20,2.52,,3.64,0.82,1.1,40,0.65,129,332,345,12,4,92,0.121,0.277,2.399,3.74,8.02,48.94,0.43,,3,식품의약품안전처,,188.8,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D611-506000000-0001,가자미조림,D,음식,6,중고등학교급식(재료량 기반 산출함량),11,조림류,11506,가자미조림,1150600,해당없음,115060000,해당없음,00,해당없음,100ml,174,85.7,23.90,5.28,,7.00,2.53,1.7,73,1.26,242,521,691,26,8,213,0.210,0.583,4.681,2.42,15.82,96.56,0.89,,3,식품의약품안전처,,67ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D707-352000000-0001,가자미찜,D,음식,7,산업체급식(재료량 기반 산출 함량),07,찜류,07352,가자미찜,0735200,해당없음,073520000,해당없음,00,해당없음,100ml,77,59.5,11.70,1.95,,2.67,0.72,0.7,27,0.52,116,288,344,10,4,76,0.109,0.231,2.301,2.48,8.07,49.27,0.34,,3,식품의약품안전처,,170.8,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D407-352000000-0001,가자미찜,D,음식,4,외식(재료량 기반 산출함량),07,찜류,07352,가자미찜,0735200,해당없음,073520000,해당없음,00,해당없음,100ml,78,59.4,11.80,1.95,,2.79,0.83,0.7,27,0.52,115,287,345,11,4,79,0.108,0.230,2.326,2.70,8.07,49.28,0.34,,3,식품의약품안전처,,170.8,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D612-573000000-0001,가자미튀김,D,음식,6,중고등학교급식(재료량 기반 산출함량),12,튀김류,12573,가자미튀김,1257300,해당없음,125730000,해당없음,00,해당없음,100ml,225,69.2,20.70,12.36,,5.54,0.01,0.2,40,0.81,188,344,758,17,17,0,0.171,0.252,3.721,1.73,14.01,110.17,2.02,,3,식품의약품안전처,,56.90,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
D412-573000000-0001,가자미튀김,D,음식,4,외식(재료량 기반 산출함량),12,튀김류,12573,가자미튀김,1257300,해당없음,125730000,해당없음,00,해당없음,100ml,94,16.1,5.10,6.54,,2.89,0.00,0.1,10,0.18,48,87,215,2,2,0,0.044,0.058,0.947,0.44,3.53,21.52,0.99,,3,식품의약품안전처,,100ml,해당없음,3,산출,2024-01-31,2025-12-29,1471000,식품의약품안전처
